time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	5	3	0	2	5	3	0	2
00:25:00	1500	5	5	0	2	5	5	0	2
00:30:00	1800	2	4	0	0	2	4	0	0
00:35:00	2100	1	0	0	1	1	0	0	1
00:40:00	2400	5	3	0	3	5	3	0	3
00:45:00	2700	1	4	0	0	1	4	0	0
00:50:00	3000	4	1	0	3	4	1	0	3
00:55:00	3300	2	4	0	1	2	4	0	1
01:00:00	3600	5	1	0	5	5	1	0	5
01:05:00	3900	5	8	0	2	5	8	0	2
01:10:00	4200	2	3	0	1	2	3	0	1
01:15:00	4500	3	3	0	1	3	3	0	1
01:20:00	4800	0	1	0	0	0	1	0	0
01:25:00	5100	3	1	0	2	3	1	0	2
01:30:00	5400	6	4	0	4	6	4	0	4
01:35:00	5700	2	4	0	2	2	4	0	2
01:40:00	6000	6	5	0	3	6	5	0	3
01:45:00	6300	3	4	0	2	3	4	0	2
01:50:00	6600	2	4	0	0	2	4	0	0
01:55:00	6900	6	2	0	4	6	2	0	4
02:00:00	7200	3	4	0	3	3	4	0	3
02:05:00	7500	4	3	0	4	4	3	0	4
02:10:00	7800	3	5	0	2	3	5	0	2
02:15:00	8100	4	3	0	3	4	3	0	3
02:20:00	8400	0	3	0	0	0	3	0	0
02:25:00	8700	3	2	0	1	3	2	0	1
02:30:00	9000	1	2	0	0	1	2	0	0
02:35:00	9300	1	0	0	1	1	0	0	1
02:40:00	9600	0	1	0	0	0	1	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	0	0	0	0	0	0	0	0
04:20:00	15600	0	0	0	0	0	0	0	0
04:25:00	15900	0	0	0	0	0	0	0	0
04:30:00	16200	0	0	0	0	0	0	0	0
04:35:00	16500	0	0	0	0	0	0	0	0
04:40:00	16800	0	0	0	0	0	0	0	0
04:45:00	17100	0	0	0	0	0	0	0	0
04:50:00	17400	0	0	0	0	0	0	0	0
04:55:00	17700	0	0	0	0	0	0	0	0
05:00:00	18000	0	0	0	0	0	0	0	0
05:05:00	18300	0	0	0	0	0	0	0	0
05:10:00	18600	0	0	0	0	0	0	0	0
05:15:00	18900	0	0	0	0	0	0	0	0
05:20:00	19200	0	0	0	0	0	0	0	0
05:25:00	19500	0	0	0	0	0	0	0	0
05:30:00	19800	0	0	0	0	0	0	0	0
05:35:00	20100	0	0	0	0	0	0	0	0
05:40:00	20400	0	0	0	0	0	0	0	0
05:45:00	20700	0	0	0	0	0	0	0	0
05:50:00	21000	0	0	0	0	0	0	0	0
05:55:00	21300	0	0	0	0	0	0	0	0
06:00:00	21600	0	0	0	0	0	0	0	0
06:05:00	21900	0	0	0	0	0	0	0	0
06:10:00	22200	0	0	0	0	0	0	0	0
06:15:00	22500	0	0	0	0	0	0	0	0
06:20:00	22800	0	0	0	0	0	0	0	0
06:25:00	23100	0	0	0	0	0	0	0	0
06:30:00	23400	0	0	0	0	0	0	0	0
06:35:00	23700	1	0	0	1	1	0	0	1
06:40:00	24000	0	1	0	0	0	1	0	0
06:45:00	24300	1	1	0	0	1	1	0	0
06:50:00	24600	0	0	0	0	0	0	0	0
06:55:00	24900	2	0	0	2	2	0	0	2
07:00:00	25200	2	2	0	2	2	2	0	2
07:05:00	25500	5	5	0	2	5	5	0	2
07:10:00	25800	1	3	0	0	1	3	0	0
07:15:00	26100	11	4	0	7	11	4	0	7
07:20:00	26400	20	15	0	12	20	15	0	12
07:25:00	26700	26	23	0	15	26	23	0	15
07:30:00	27000	23	26	0	12	23	26	0	12
07:35:00	27300	31	21	0	22	31	21	0	22
07:40:00	27600	30	35	0	17	30	35	0	17
07:45:00	27900	29	25	0	21	29	25	0	21
07:50:00	28200	9	25	0	5	9	25	0	5
07:55:00	28500	16	11	0	10	16	11	0	10
08:00:00	28800	14	18	0	6	14	18	0	6
08:05:00	29100	20	15	0	11	20	15	0	11
08:10:00	29400	13	18	0	6	13	18	0	6
08:15:00	29700	11	11	0	6	11	11	0	6
08:20:00	30000	16	13	0	9	16	13	0	9
08:25:00	30300	20	21	0	8	20	21	0	8
08:30:00	30600	13	15	0	6	13	15	0	6
08:35:00	30900	12	11	0	7	12	11	0	7
08:40:00	31200	17	16	0	8	17	16	0	8
08:45:00	31500	19	15	0	12	19	15	0	12
08:50:00	31800	18	18	0	12	18	18	0	12
08:55:00	32100	11	18	0	5	11	18	0	5
09:00:00	32400	20	17	0	8	20	17	0	8
09:05:00	32700	18	15	0	11	18	15	0	11
09:10:00	33000	16	20	0	7	16	20	0	7
09:15:00	33300	15	14	0	8	15	14	0	8
09:20:00	33600	17	15	0	10	17	15	0	10
09:25:00	33900	15	16	0	9	15	16	0	9
09:30:00	34200	9	12	0	6	9	12	0	6
